,confidence,idx,peak
"ws=151, diff_small",1.6894207234158338,17544.0,0.272444191044251
"ws=167, diff_small",1.6846049046321574,17542.0,0.2660188604826271
"ws=138, diff_small",1.6695156695156494,17541.0,0.27693761814744555
"ws=183, diff_small",1.6508087535680334,17541.0,0.25904028188360123
"ws=202, diff_small",1.6226564982523097,17541.0,0.25029408881482146
"ws=125, diff_small",1.618994826311898,17544.0,0.2803839999999995
"ws=222, diff_small",1.5853301384451508,17542.0,0.24164028893758754
"ws=296, diff_small",1.5585254209579669,17529.0,0.21762006939371997
"ws=269, acc_std_inv",1.5468339260062691,17624.0,2.0732337801470595
"ws=296, acc_std_inv",1.5462733202980379,17635.0,1.9675121459885028
"ws=325, diff_small",1.544523138279585,17529.0,0.21265798816568157
"ws=244, diff_small",1.5381624263970661,17541.0,0.2325483740929837
"ws=325, acc_std_inv",1.5334838536493014,17647.0,1.8667264174272202
"ws=244, acc_std_inv",1.529489255396768,17615.0,2.1800835204208346
"ws=358, diff_small",1.5249280368451261,17529.0,0.20667270060235643
"ws=358, acc_std_inv",1.5068359433531604,17662.0,1.7666212600001447
"ws=393, diff_small",1.5051040248881888,17529.0,0.20047394285492287
"ws=222, acc_std_inv",1.5011327245255084,17607.0,2.2801746975107133
"ws=269, diff_small",1.4990732159406737,17544.0,0.2235320131009825
"ws=114, diff_small",1.495114006514663,17547.0,0.28254847645429476
"ws=433, diff_small",1.488453034149542,17520.0,0.19388337449130422
"ws=476, diff_small",1.4763921677544753,17520.0,0.18768978179507206
"ws=94, diff_small",1.4753521126760452,17530.0,0.2845178813942937
"ws=393, acc_std_inv",1.472585420446947,17678.0,1.6750178911123113
"ws=524, diff_small",1.4591390592446876,17517.0,0.18110104306275723
"ws=202, acc_std_inv",1.4532475385033439,17603.0,2.374672305001334
"ws=103, diff_small",1.4499758337361086,17541.0,0.2827787727401248
"ws=433, acc_std_inv",1.4310603153238513,17696.0,1.586324347496044
"ws=576, diff_small",1.431027232926863,17535.0,0.174379701967593
"ws=183, acc_std_inv",1.4050540863207521,17601.0,2.471735119226556
"ws=634, diff_small",1.4035349454010475,17535.0,0.16851595697041333
"ws=476, acc_std_inv",1.3878411307891445,17717.0,1.5069663148281809
"ws=697, diff_small",1.3794719575066199,17541.0,0.16358280723493776
"ws=167, acc_std_inv",1.367743697408068,17600.0,2.559928788301026
"ws=767, diff_small",1.352943731719314,17542.0,0.15882839896717474
"ws=524, acc_std_inv",1.3470953357772188,17740.0,1.434392154933571
"ws=151, acc_std_inv",1.3417463929771312,17596.0,2.6481759013040658
"ws=138, acc_std_inv",1.3325670184735225,17589.0,2.713772830933805
"ws=125, acc_std_inv",1.3156901547103017,17582.0,2.772293930726991
"ws=576, acc_std_inv",1.3088190420953947,17767.0,1.3700747028720632
"ws=114, acc_std_inv",1.3062769469926074,17572.0,2.8173334847718134
"ws=103, acc_std_inv",1.289475446312589,17561.0,2.855817301814404
"ws=634, acc_std_inv",1.2731135118620616,17799.0,1.3120194024941638
"ws=94, acc_std_inv",1.2652585830975045,17553.0,2.8862407011668485
"ws=697, acc_std_inv",1.2438253071769039,17830.0,1.2611506923954872
"ws=85, acc_std_inv",1.2251058369817924,17546.0,2.9056616789456067
"ws=70, acc_std_inv",1.2202992841556684,17521.0,2.922917224909189
"ws=767, acc_std_inv",1.2174201912884566,17866.0,1.2150011090858837
"ws=77, acc_std_inv",1.2127248239994075,17534.0,2.9106943010902766
"ws=64, acc_std_inv",1.1856595291741867,17516.0,2.9355236975588026
"ws=58, acc_std_inv",1.1502236097824245,17512.0,2.9573903102083756
"ws=85, high_fft",1.0883670558161676,24450.0,0.02122197879614368
"ws=94, high_fft",1.0779433922593644,24447.0,0.021264534974286604
